equipment_name,point,value,time
FCU_P2_KO_04A,Effective Setpoint,,2025-10-15 14:18:08
FCU_P2_KO_04A,Occupied Setpoint,,2025-10-15 14:18:08
FCU_P2_KO_04A,Room Temperature,,2025-10-15 14:18:08
FCU_P2_KO_04A,Cooling Valve Command,,2025-10-15 14:18:08
FCU_P2_KO_04A,Unit Schedule,,2025-10-15 14:18:08
FCU_P2_KO_04A,Un Occupied Setpoint,,2025-10-15 14:18:08
0359-VAV-07,Occupied Setpoint,,2025-10-15 14:18:08
0359-VAV-07,Unoccupied Setpoint,,2025-10-15 14:18:08
0229-VAV-01,Occupied Setpoint,,2025-10-15 14:18:08
0229-VAV-01,Unoccupied Setpoint,,2025-10-15 14:18:08
0229-VAV-02,Occupied Setpoint,,2025-10-15 14:18:08
0229-VAV-02,Unoccupied Setpoint,,2025-10-15 14:18:08
0229-VAV-03,Occupied Setpoint,,2025-10-15 14:18:08
0229-VAV-03,Unoccupied Setpoint,,2025-10-15 14:18:08
0229-VAV-04,Occupied Setpoint,,2025-10-15 14:18:08
0229-VAV-04,Unoccupied Setpoint,,2025-10-15 14:18:08
0229-VAV-06,Occupied Setpoint,,2025-10-15 14:18:08
0229-VAV-06,Unoccupied Setpoint,,2025-10-15 14:18:08
0229-VAV-08,Occupied Setpoint,,2025-10-15 14:18:08
0229-VAV-08,Unoccupied Setpoint,,2025-10-15 14:18:08
0230-VAV-01,Occupied Setpoint,,2025-10-15 14:18:08
0230-VAV-01,Unoccupied Setpoint,,2025-10-15 14:18:08
0230-VAV-03,Occupied Setpoint,,2025-10-15 14:18:08
0230-VAV-03,Unoccupied Setpoint,,2025-10-15 14:18:08
0230-VAV-04,Occupied Setpoint,,2025-10-15 14:18:08
0230-VAV-04,Unoccupied Setpoint,,2025-10-15 14:18:08
0230-VAV-05,Occupied Setpoint,,2025-10-15 14:18:08
0230-VAV-05,Unoccupied Setpoint,,2025-10-15 14:18:08
0230-VAV-06,Occupied Setpoint,,2025-10-15 14:18:08
0230-VAV-06,Unoccupied Setpoint,,2025-10-15 14:18:08
0230-VAV-07,Occupied Setpoint,,2025-10-15 14:18:08
0230-VAV-07,Unoccupied Setpoint,,2025-10-15 14:18:08
0231-VAV-01,Occupied Setpoint,,2025-10-15 14:18:08
0231-VAV-01,Unoccupied Setpoint,,2025-10-15 14:18:08
0231-VAV-02,Occupied Setpoint,,2025-10-15 14:18:08
0231-VAV-02,Unoccupied Setpoint,,2025-10-15 14:18:08
0231-VAV-04,Occupied Setpoint,,2025-10-15 14:18:08
0231-VAV-04,Unoccupied Setpoint,,2025-10-15 14:18:08
0231-VAV-05,Occupied Setpoint,,2025-10-15 14:18:08
0231-VAV-05,Unoccupied Setpoint,,2025-10-15 14:18:08
0231-VAV-06,Occupied Setpoint,,2025-10-15 14:18:08
